matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg
M5,"PREBUILT: Samples Near Agricultural Chemical Facilities in Maine",samples,near,1,facilities,23,"prebuilt",GET_REGION_BOUNDARIES,spatialkg,200,25459,16,2550452,ok,""
M5,"PREBUILT: Samples Near Landfills & DOD Sites in Penobscot and Knox County",samples,near,1,facilities,23019|23013,"prebuilt",FIND_TARGET_IRIS,federation,200,1347,61,6138,ok,""
M5,"PREBUILT: Samples Near Landfills & DOD Sites in Penobscot and Knox County",samples,near,1,facilities,23019|23013,"prebuilt",FIND_ANCHOR_IRIS,federation,200,2755,8,826,ok,""
M5,"PREBUILT: Samples Near Landfills & DOD Sites in Penobscot and Knox County",samples,near,1,facilities,23019|23013,"prebuilt",HYDRATE_TARGET_BY_IRI,federation,200,869,57,38232,ok,""
M5,"PREBUILT: Samples Near Landfills & DOD Sites in Penobscot and Knox County",samples,near,1,facilities,23019|23013,"prebuilt",HYDRATE_ANCHOR_BY_IRI,federation,200,639,8,4620,ok,""
M5,"PREBUILT: Samples Near Landfills & DOD Sites in Penobscot and Knox County",samples,near,1,facilities,23019|23013,"prebuilt",GET_SAMPLE_DETAILS,federation,200,9674,725,720167,ok,""
M5,"PREBUILT: Samples Near Landfills & DOD Sites in Penobscot and Knox County",samples,near,1,facilities,23019|23013,"prebuilt",GET_REGION_BOUNDARIES,spatialkg,200,125,16,2550451,ok,""
M5,"PREBUILT: Surface Water Bodies Near Landfills & DOD Sites in Penobscot and Knox County",waterBodies,near,1,facilities,23019|23013,"prebuilt",FIND_TARGET_IRIS,federation,200,1145,9,754,ok,""
M5,"PREBUILT: Surface Water Bodies Near Landfills & DOD Sites in Penobscot and Knox County",waterBodies,near,1,facilities,23019|23013,"prebuilt",FIND_ANCHOR_IRIS,federation,200,1038,6,632,ok,""
M5,"PREBUILT: Surface Water Bodies Near Landfills & DOD Sites in Penobscot and Knox County",waterBodies,near,1,facilities,23019|23013,"prebuilt",HYDRATE_TARGET_BY_IRI,hydrologykg,200,27534,103,2360070,ok,""
M5,"PREBUILT: Surface Water Bodies Near Landfills & DOD Sites in Penobscot and Knox County",waterBodies,near,1,facilities,23019|23013,"prebuilt",HYDRATE_ANCHOR_BY_IRI,federation,200,792,6,3501,ok,""
M5,"PREBUILT: Surface Water Bodies Near Landfills & DOD Sites in Penobscot and Knox County",waterBodies,near,1,facilities,23019|23013,"prebuilt",GET_REGION_BOUNDARIES,spatialkg,200,262,16,2550451,ok,""
M5,"PREBUILT: Samples Downstream of Waste Treatment Facilities in Indiana",samples,downstream,,facilities,18,"prebuilt",FIND_TARGET_IRIS,federation,200,22205,136,10889,ok,""
M5,"PREBUILT: Samples Downstream of Waste Treatment Facilities in Indiana",samples,downstream,,facilities,18,"prebuilt",FIND_ANCHOR_IRIS,federation,200,4555,415,40305,ok,""
M5,"PREBUILT: Samples Downstream of Waste Treatment Facilities in Indiana",samples,downstream,,facilities,18,"prebuilt",GET_FLOWLINE_GEOMETRIES,federation,200,22533,15696,15122393,ok,""
M5,"PREBUILT: Samples Downstream of Waste Treatment Facilities in Indiana",samples,downstream,,facilities,18,"prebuilt",HYDRATE_TARGET_BY_IRI,federation,200,1142,123,86977,ok,""
M5,"PREBUILT: Samples Downstream of Waste Treatment Facilities in Indiana",samples,downstream,,facilities,18,"prebuilt",HYDRATE_ANCHOR_BY_IRI,federation,200,1787,882,498450,ok,""
M5,"PREBUILT: Samples Downstream of Waste Treatment Facilities in Indiana",samples,downstream,,facilities,18,"prebuilt",GET_SAMPLE_DETAILS,federation,200,14502,2222,2328389,ok,""
M5,"PREBUILT: Samples Downstream of Waste Treatment Facilities in Indiana",samples,downstream,,facilities,18,"prebuilt",GET_REGION_BOUNDARIES,spatialkg,200,477,92,3064709,ok,""
M5,"PREBUILT: Maine Private Wells Near Landfills & DoD Sites",wells,near,1,facilities,23,"prebuilt",FIND_TARGET_IRIS,federation,200,3153,751,71552,ok,""
M5,"PREBUILT: Maine Private Wells Near Landfills & DoD Sites",wells,near,1,facilities,23,"prebuilt",FIND_ANCHOR_IRIS,federation,200,1259,38,3736,ok,""
M5,"PREBUILT: Maine Private Wells Near Landfills & DoD Sites",wells,near,1,facilities,23,"prebuilt",HYDRATE_TARGET_BY_IRI,federation,200,13384,751,567528,ok,""
M5,"PREBUILT: Maine Private Wells Near Landfills & DoD Sites",wells,near,1,facilities,23,"prebuilt",HYDRATE_ANCHOR_BY_IRI,federation,200,754,38,21384,ok,""
M5,"PREBUILT: Maine Private Wells Near Landfills & DoD Sites",wells,near,1,facilities,23,"prebuilt",GET_REGION_BOUNDARIES,spatialkg,200,273,16,2550451,ok,""
M5,"PREBUILT: Maine Private Wells Near Wastewater Treatment Facilities",wells,near,1,facilities,23,"prebuilt",FIND_TARGET_IRIS,federation,200,1351,2431,231487,ok,""
M5,"PREBUILT: Maine Private Wells Near Wastewater Treatment Facilities",wells,near,1,facilities,23,"prebuilt",FIND_ANCHOR_IRIS,federation,200,1267,135,13145,ok,""
M5,"PREBUILT: Maine Private Wells Near Wastewater Treatment Facilities",wells,near,1,facilities,23,"prebuilt",HYDRATE_TARGET_BY_IRI,federation,200,9926,2431,1845301,ok,""
M5,"PREBUILT: Maine Private Wells Near Wastewater Treatment Facilities",wells,near,1,facilities,23,"prebuilt",HYDRATE_ANCHOR_BY_IRI,federation,200,781,135,76705,ok,""
M5,"PREBUILT: Maine Private Wells Near Wastewater Treatment Facilities",wells,near,1,facilities,23,"prebuilt",GET_REGION_BOUNDARIES,spatialkg,200,109,16,2550451,ok,""
M5,"PREBUILT: Maine Private Wells Near Airports & Air Transportation Sites (AFFF)",wells,near,1,facilities,23,"prebuilt",FIND_TARGET_IRIS,federation,200,1385,4425,421382,ok,""
M5,"PREBUILT: Maine Private Wells Near Airports & Air Transportation Sites (AFFF)",wells,near,1,facilities,23,"prebuilt",FIND_ANCHOR_IRIS,federation,200,1234,174,16928,ok,""
M5,"PREBUILT: Maine Private Wells Near Airports & Air Transportation Sites (AFFF)",wells,near,1,facilities,23,"prebuilt",HYDRATE_TARGET_BY_IRI,federation,200,10910,4425,3391412,ok,""
M5,"PREBUILT: Maine Private Wells Near Airports & Air Transportation Sites (AFFF)",wells,near,1,facilities,23,"prebuilt",HYDRATE_ANCHOR_BY_IRI,federation,200,738,174,95901,ok,""
M5,"PREBUILT: Maine Private Wells Near Airports & Air Transportation Sites (AFFF)",wells,near,1,facilities,23,"prebuilt",GET_REGION_BOUNDARIES,spatialkg,200,157,16,2550451,ok,""
M5,"PREBUILT: PFHpA Groundwater Samples Downstream from Facilities in Cumberland County",samples,downstream,,facilities,23005,"prebuilt",FIND_TARGET_IRIS,federation,200,2113,0,51,ok,""
